# RS;CS;LS;MS;PS
5.077649018441403594e-01;5.609587150505650488e-01;5.225314693634739438e-01;4.960678167757289203e-01;5.449823914336704433e-01
4.930296039984621292e-01;5.448904267589387285e-01;5.531406189926950656e-01;5.690354671280278831e-01;5.157516339869281374e-01
5.073511037067888196e-01;5.514447105372762836e-01;5.782470845481048061e-01;5.000000000000000000e-01;5.633944189920865320e-01
4.978309631171232708e-01;5.528870389640416771e-01;5.861614059428835732e-01;5.515146259683200158e-01;5.258954792461557615e-01
5.051310228233304445e-01;5.350839270619490717e-01;5.612740007245499152e-01;5.000000000000000000e-01;4.939204202391017096e-01
5.123442906574393607e-01;5.307928741349483559e-01;5.353914359861590144e-01;4.990479022491345340e-01;5.531504108996539992e-01
4.928434397373521736e-01;5.584013686167474955e-01;5.468848146829635715e-01;5.293696847434832264e-01;5.386493809580317205e-01
5.213823673469385467e-01;5.567244081632652941e-01;5.587678367346939901e-01;5.077389387755100181e-01;5.192726530612244984e-01
4.980806441920553329e-01;5.561372513671051232e-01;5.501496304308634011e-01;4.970846102998619509e-01;5.641256535063998712e-01
5.211063631140473440e-01;5.399730680838837893e-01;5.700782821028438363e-01;5.087762137316861333e-01;5.615476874461358126e-01
4.921556710126458456e-01;5.361121458680522256e-01;6.889770610724441635e-01;5.000000000000000000e-01;5.006920890108814692e-01
4.704396573444192819e-01;5.722978080120934008e-01;6.493550012597633092e-01;4.478029730410683085e-01;5.595187704711515053e-01
5.132324218749999556e-01;5.704223632812499556e-01;6.194177246093750533e-01;5.313684082031250311e-01;5.766247558593750044e-01
4.851857661013626588e-01;5.948794235859232726e-01;6.450063719243209759e-01;5.255759239290267448e-01;5.360028428585432714e-01
5.266258169934640021e-01;6.364071510957325373e-01;6.609895232602843729e-01;5.207415417147251979e-01;5.466657054978854013e-01
4.936071343638526177e-01;6.366337693222354766e-01;7.203429250891795199e-01;5.589381688466109610e-01;6.472394768133175047e-01
4.643387685239404039e-01;7.069291923787219822e-01;7.103972794018286185e-01;5.972440430611234419e-01;6.578289266249268685e-01
5.093490460157127364e-01;4.984486276910518598e-01;6.446694214876032003e-01;5.772844607693095043e-01;5.194418936843178125e-01
5.410610110595074351e-01;5.313660663570449749e-01;6.535306892980056181e-01;5.667534832436765813e-01;5.581063516990208973e-01
4.957165532879820313e-01;5.381551020408162911e-01;5.932385487528345491e-01;5.251183673469386193e-01;5.774671201814058907e-01
5.142643890427825992e-01;5.731832871652816630e-01;5.930544013542631276e-01;5.465027700831026625e-01;5.462565404739921915e-01
4.989237024221455652e-01;5.854083044982699713e-01;6.533050173010385153e-01;5.000000000000000000e-01;5.097994809688579654e-01
4.836103863311171369e-01;6.520806329433548321e-01;6.270924164632605269e-01;5.959826613921386240e-01;5.990876188872991115e-01
4.847928577022475594e-01;5.325295637872972110e-01;6.088965463231263975e-01;5.089709452580468696e-01;5.331650873208551022e-01
4.787982234935451165e-01;5.620209642816813567e-01;5.321159998494485732e-01;5.025209831006060002e-01;5.746898641273665564e-01
