# RS;CS;LS;MS;PS
1.772401878707297734e-02;1.402955507267198976e-01;1.295113717897222461e-01;0.000000000000000000e+00;1.448500527663778292e-01
1.285470734588914365e-02;1.020112164755983819e-01;6.367817834107453168e-02;1.501491026788032424e-01;9.268580652587024571e-02
-9.727120795103285852e-03;1.864286518801174797e-01;1.069506037113525238e-01;1.710361579812852417e-02;5.457530002572840572e-02
-1.093191661649462083e-02;1.810888471031197600e-01;1.117503148916297179e-01;1.160831733134468427e-02;5.647104677531055578e-02
1.448391798937036061e-02;1.571324122032652371e-01;1.475339611898533465e-01;4.658055571275631496e-02;1.564546310048821887e-01
1.781931586662294925e-02;1.711690939148978186e-01;1.862798364393421502e-01;7.275060395005709946e-02;2.037533737332145045e-01
-1.322266879686612162e-02;2.633546389921747610e-01;2.368803325965547768e-01;0.000000000000000000e+00;1.576867324219121957e-01
-2.192733389209735803e-02;1.687066832531479432e-01;1.939963938240196750e-01;-4.026013131781665949e-02;7.686230351900968927e-02
-1.374635954860026731e-02;1.689281681035708915e-01;1.975087467594228707e-01;4.305666859765417548e-02;1.588006087527801258e-01
-1.276132927489592901e-02;3.100063702619067496e-01;2.076015674263797517e-01;7.881764191341597559e-02;1.112155238163429483e-01
-7.858544235441725437e-03;3.129722608921067795e-01;2.461754712096757280e-01;-5.514704512797629493e-03;1.393842620618186423e-01
-1.204876285996952590e-03;2.464335123703069452e-01;1.492128911589017948e-01;1.088129804063622114e-01;1.662925647273576502e-01
-2.259586574113613827e-02;3.089007274622194710e-01;1.782182928343035433e-01;1.412028947869575224e-01;2.052391211814931504e-01
1.310978182148280109e-02;-3.142844378691769108e-02;1.530643307586493085e-01;7.734532375217693934e-02;5.772507193480497234e-02
2.369807626088693726e-03;1.893656787591882626e-03;1.154915745889133760e-01;1.452335375392044443e-02;2.137430508612630509e-01
-4.533298233057222451e-04;4.179539650128805735e-04;1.799922375100045657e-01;7.109195757527755899e-02;4.584775591343268064e-02
4.235695532440755806e-03;1.809345666723224666e-01;2.612110655247497637e-01;2.436708459575564201e-01;5.462723757493396365e-02
-7.393045331685419580e-03;1.450838546690517428e-01;2.331498023833468991e-01;0.000000000000000000e+00;1.137122339438347528e-02
-4.097454031024122013e-03;2.166742973966251096e-01;1.243595477411598843e-01;3.222201137383957081e-01;1.911261690447766670e-01
-1.025296747560319396e-02;4.157695717623684228e-02;7.826044468015172506e-02;4.323607831581403188e-02;6.927923774640822041e-02
-6.092424198943582024e-03;1.135697680868648501e-01;4.573319745399002240e-03;1.043783146503358544e-01;1.887404457621731368e-01
-1.136697651940586293e-02;1.752662380806067344e-01;2.011375975093092627e-01;-7.388455078088419781e-02;5.356819940208048386e-02
-1.398741276869291776e-02;9.329979798461637830e-02;1.606187054966915218e-01;5.951425665325652849e-03;8.421043118812157613e-02
-2.981647128726742403e-03;3.241513543864591451e-01;2.750485834630645998e-01;1.662938080531956367e-02;1.933608584226970406e-01
-1.059776141895186260e-03;6.298107391272336764e-02;2.806490505699786864e-01;8.018311979374920240e-02;1.221247433130156906e-01
-2.900077041737321101e-02;2.073023922429615418e-01;1.802727433008633473e-01;1.854681279298502072e-01;1.119597867921177381e-01
3.349599760940962997e-03;-1.717593242240629536e-02;1.149551897251547411e-01;1.232146505733202300e-02;5.454270000702231280e-02
3.907987018879136888e-03;8.587328475745550915e-02;1.417369942810872974e-01;7.071048466506976715e-02;2.164146699810273744e-02
1.462618283259362094e-03;1.421824859504884075e-01;2.172108141176866125e-01;0.000000000000000000e+00;2.984214633995790900e-02
4.510816103232021847e-03;2.363069828434232744e-01;2.817471095401186121e-01;4.862873023677497658e-02;1.219270763433946969e-01
2.376723561310590052e-02;8.430039370487085737e-02;7.865817426775278953e-02;1.729549607553632629e-01;3.361551113785486433e-01
