# PS;GS;RS;LS;MS;CS
7.462948498875047187e-01;1.704320091367047818e-01;9.987995663878380670e-01;4.188453600559317591e-01;6.906172958334082512e-01;8.715453018823257070e-01
7.425300821387850192e-01;1.553841477312922770e-01;9.970335922330980649e-01;3.835561686465790432e-01;7.273650927251208431e-01;8.417038570834883826e-01
7.443387527940722448e-01;1.380161161134200731e-01;1.001408861594687671e+00;3.505984220180094479e-01;7.571502225892766669e-01;7.973563793757385554e-01
7.430297536086042376e-01;1.427562423431460725e-01;1.001761602690940389e+00;3.231036970346713999e-01;7.914936158114733722e-01;7.544686875933267478e-01
7.405666054318778002e-01;1.207709025590783108e-01;9.995982882235807665e-01;2.972344982434421690e-01;8.200516077797171954e-01;7.438699158229379327e-01
7.424579664663094603e-01;1.030941560924266281e-01;9.968499937134968070e-01;2.750094579647176518e-01;8.504464072999238233e-01;7.279879264603053013e-01
7.362559993637183275e-01;9.451828204895611207e-02;1.000549226640641276e+00;2.525693680930151119e-01;8.622257838158631227e-01;6.726374845929100621e-01
7.306356459547899140e-01;8.959388464556779230e-02;9.988783802747677187e-01;2.329226047064326954e-01;8.987197525007034615e-01;6.510718435293215700e-01
7.250835980661320956e-01;8.746966959535050490e-02;1.002970225972768858e+00;2.156326169575330798e-01;9.386021780598141628e-01;6.332884235384265148e-01
7.219662659050185560e-01;7.833733881090626516e-02;9.972760973160652576e-01;2.035999085047614787e-01;9.666822692108332227e-01;6.198132773100342163e-01
7.165629828349209252e-01;6.872431765027954553e-02;1.003312700072412467e+00;1.864926132489372057e-01;9.956096108869301187e-01;6.048101518995446790e-01
7.147752611779349952e-01;7.704717464075842848e-02;9.972326380748859354e-01;1.763375677280151765e-01;1.020676655014284950e+00;5.826434586582913688e-01
7.137378309568129797e-01;5.767804699199568369e-02;9.980553391410418307e-01;1.623563171665077798e-01;1.048367966122907724e+00;5.675446240199772951e-01
7.162968518707976129e-01;5.611499724116957022e-02;9.963514049846629028e-01;1.496118349153930105e-01;1.101359379221093615e+00;5.633060221843040338e-01
7.132239485187666928e-01;5.432449430196424622e-02;1.003437914855193291e+00;1.372830076181780490e-01;1.141930027768278677e+00;5.710427644446078865e-01
7.148638837127591072e-01;4.622844865647382506e-02;1.000203661701385194e+00;1.296268522676648771e-01;1.166965844861662216e+00;5.411882310144574548e-01
7.155029888587703946e-01;4.641275410832153281e-02;1.001881055965583300e+00;1.207643859958167365e-01;1.211075742967394619e+00;5.188504600096376373e-01
7.182088153745321835e-01;4.740372059149097761e-02;9.982553795097014460e-01;1.114323003224013814e-01;1.242854350143273834e+00;5.149353550995009465e-01
7.150298074498491196e-01;4.257622744607134080e-02;1.001361098620353163e+00;1.042128103351756263e-01;1.276712755485316597e+00;4.968146624410189616e-01
7.180833932197739911e-01;4.605545728204345907e-02;9.979264608505811207e-01;9.761530068707102714e-02;1.300724939470931929e+00;4.813151318277678614e-01
7.236535684164161486e-01;3.586607965164816808e-02;9.996009761921791359e-01;8.967246291058519891e-02;1.339688793570830150e+00;4.624463591928944517e-01
7.302253313003763679e-01;3.609502989570213816e-02;9.967933346535430283e-01;8.103544479384872101e-02;1.368016082390023591e+00;4.517313921972570534e-01
7.308415642903676179e-01;3.623503152391369803e-02;9.997871909748894392e-01;7.503352206212240971e-02;1.409477835464201023e+00;4.352070141244349655e-01
7.372647210756995140e-01;3.094148022375739146e-02;9.965047659164050220e-01;6.698452743392933895e-02;1.441322010127221720e+00;4.347458995831861017e-01
7.451538496735772288e-01;3.209844701893199009e-02;1.000576701620870645e+00;6.021078169660248197e-02;1.489362167289241645e+00;4.230017366060889739e-01
7.482850452500493521e-01;3.097471581170472416e-02;9.982186794448831835e-01;5.518646417063810539e-02;1.534096913720411237e+00;4.154521199447491209e-01
7.564509156317242855e-01;2.868819905244372054e-02;1.000760470502093158e+00;5.157050987279101356e-02;1.565314536229786002e+00;4.050573933107446400e-01
7.611809888046182637e-01;2.866478548266213761e-02;9.996205686486077102e-01;4.878071577689169908e-02;1.599256901133237596e+00;4.011946659399883708e-01
8.323637512445029030e-01;7.140599463331710750e-02;1.041410080249483672e+00;1.087076732743281759e-01;5.469731774322012186e+00;4.345778459292577445e-01
7.770945106691167226e-01;2.315583711680170229e-02;9.977652012752834532e-01;4.211952674422200088e-02;1.641909538672640556e+00;3.866364214113435227e-01
7.857564629154308866e-01;2.680557214041651495e-02;9.989293125253008165e-01;3.887684547143038100e-02;1.645572783156582952e+00;3.781547348876777015e-01
7.937746952106046194e-01;2.571273505942221066e-02;1.001814025355109550e+00;3.752277628802496573e-02;1.655031580306808525e+00;3.763863403597222379e-01
8.118503941287905645e-01;2.395037212921640943e-02;1.001281968015103052e+00;3.654963879569836371e-02;1.648056274790038245e+00;3.750430926113385577e-01
