# RS;CS;LS;MS;PS;HS:1:0;CoS
2.409799999999999898e+01;4.364099999999999824e+01;1.496499999999999986e+01;4.124900000000000233e+01;2.259199999999999875e+01;2.370895999999999759e+01;3.821300000000000097e+01
2.374500000000000099e+01;3.935600000000000165e+01;1.702499999999999858e+01;3.059700000000000131e+01;1.747500000000000142e+01;2.143331600000000137e+01;3.536699999999999733e+01
1.097800000000000011e+02;1.327700000000000102e+02;1.311500000000000057e+02;1.051099999999999994e+02;1.198400000000000034e+02;3.595042857142857429e+01;1.239000000000000057e+02
7.121299999999999386e+01;4.723100000000000165e+01;3.694400000000000261e+01;1.046099999999999994e+02;4.024300000000000210e+01;5.773556521739130432e+01;7.185699999999999932e+01
3.692300000000000182e+01;1.031400000000000006e+01;3.772500000000000142e+01;3.548199999999999932e+01;1.682499999999999929e+01;4.906480000000000530e+01;1.832300000000000040e+01
3.970400000000000063e+01;3.560900000000000176e+01;1.309800000000000075e+01;5.560399999999999920e+01;1.932000000000000028e+01;5.252260000000001128e+01;3.303099999999999881e+01
5.420199999999999818e+01;2.428900000000000148e+01;2.858599999999999852e+01;3.768399999999999750e+01;2.830600000000000094e+01;3.869734782608696122e+01;3.239000000000000057e+01
7.623600000000000421e+01;6.880400000000000205e+01;4.721300000000000097e+01;4.712700000000000244e+01;6.950000000000000000e+01;4.645532000000000039e+01;5.648700000000000188e+01
6.334899999999999665e+01;3.785600000000000165e+01;3.658599999999999852e+01;3.880499999999999972e+01;4.620499999999999829e+01;5.775352000000000174e+01;3.443800000000000239e+01
3.573700000000000188e+01;1.592200000000000060e+01;2.173300000000000054e+01;7.194599999999999795e+01;2.410300000000000153e+01;4.501868000000000336e+01;2.678099999999999881e+01
3.139600000000000080e+01;2.582600000000000051e+01;1.858699999999999974e+01;4.849099999999999966e+01;2.062099999999999866e+01;4.156191999999999354e+01;2.155399999999999849e+01
2.737000000000000099e+01;2.404299999999999926e+01;2.553800000000000026e+01;3.402300000000000324e+01;1.133900000000000041e+01;4.158095833333334213e+01;3.265400000000000347e+01
3.631600000000000250e+01;2.984799999999999898e+01;3.615200000000000102e+01;6.477500000000000568e+01;2.552299999999999969e+01;3.430041666666667055e+01;2.609900000000000020e+01
3.280100000000000193e+01;2.050300000000000011e+01;2.893100000000000094e+01;6.206000000000000227e+01;1.813599999999999923e+01;4.161000000000000654e+01;2.453399999999999892e+01
6.174000000000000199e+01;3.880299999999999727e+01;3.961399999999999721e+01;2.767899999999999849e+01;3.792399999999999949e+01;3.067407407407408115e+01;4.584199999999999875e+01
3.093199999999999861e+01;1.438700000000000045e+01;1.720599999999999952e+01;6.022200000000000131e+01;2.350400000000000134e+01;2.862525000000000475e+01;2.981899999999999906e+01
6.831499999999999773e+01;3.316899999999999693e+01;5.319899999999999807e+01;2.797899999999999920e+01;3.404999999999999716e+01;5.741866666666665964e+01;3.997899999999999920e+01
4.402199999999999847e+01;5.051299999999999812e+01;3.522999999999999687e+01;2.487099999999999866e+01;4.029099999999999682e+01;4.900257692307692281e+01;2.852199999999999847e+01
5.150600000000000023e+01;3.866400000000000148e+01;3.976800000000000068e+01;3.962199999999999989e+01;3.698700000000000188e+01;5.099064000000000618e+01;3.447500000000000142e+01
8.003199999999999648e+01;4.612899999999999778e+01;5.310300000000000153e+01;3.386800000000000210e+01;5.793699999999999761e+01;5.845596000000001169e+01;6.039500000000000313e+01
5.228000000000000114e+01;2.875499999999999901e+01;4.496399999999999864e+01;4.273199999999999932e+01;3.067699999999999960e+01;4.650396153846153169e+01;2.689099999999999824e+01
4.529999999999999716e+01;3.181299999999999883e+01;3.432800000000000296e+01;3.705299999999999727e+01;3.826299999999999812e+01;5.168419230769230666e+01;2.687399999999999878e+01
5.202400000000000091e+01;4.369500000000000028e+01;2.743799999999999883e+01;5.782600000000000051e+01;2.164999999999999858e+01;4.751870833333333621e+01;2.421199999999999974e+01
7.464100000000000534e+01;8.374500000000000455e+01;5.185499999999999687e+01;5.202000000000000313e+01;7.496399999999999864e+01;5.568866666666666276e+01;6.922899999999999920e+01
6.829200000000000159e+01;6.587199999999999989e+01;4.277000000000000313e+01;3.157900000000000063e+01;5.512199999999999989e+01;4.415744000000000824e+01;5.625200000000000244e+01
4.265699999999999648e+01;7.001699999999999591e+01;4.700999999999999801e+01;8.961400000000000432e+01;7.294599999999999795e+01;6.260655555555555907e+01;7.695699999999999363e+01
7.109300000000000352e+01;7.295399999999999352e+01;4.198700000000000188e+01;4.808500000000000085e+01;5.995799999999999841e+01;7.151287999999998135e+01;5.260099999999999909e+01
4.830400000000000205e+01;5.236500000000000199e+01;2.493100000000000094e+01;4.712700000000000244e+01;3.817799999999999727e+01;4.094412499999999966e+01;4.357600000000000051e+01
4.697599999999999909e+01;4.257399999999999807e+01;2.715399999999999991e+01;6.896200000000000330e+01;3.940299999999999869e+01;5.913620833333333593e+01;3.884700000000000131e+01
4.211599999999999966e+01;3.791100000000000136e+01;2.269800000000000040e+01;6.550400000000000489e+01;2.513299999999999912e+01;7.321223999999999421e+01;2.695200000000000173e+01
6.798600000000000421e+01;5.877799999999999869e+01;5.145100000000000051e+01;6.300300000000000011e+01;5.334599999999999653e+01;7.385635999999999513e+01;5.912199999999999989e+01
5.196200000000000330e+01;7.893699999999999761e+01;6.274600000000000222e+01;1.078400000000000034e+02;7.863599999999999568e+01;6.361296153846154766e+01;9.394799999999999329e+01
4.293500000000000227e+01;5.583700000000000330e+01;3.004599999999999937e+01;8.800400000000000489e+01;4.971399999999999864e+01;7.396812500000000057e+01;5.717499999999999716e+01
4.339900000000000091e+01;3.726299999999999812e+01;3.714399999999999835e+01;5.357500000000000284e+01;4.393299999999999983e+01;3.758359999999999701e+01;4.398700000000000188e+01
5.072999999999999687e+01;4.857300000000000040e+01;2.019500000000000028e+01;6.358299999999999841e+01;3.437199999999999989e+01;7.781448148148146515e+01;2.952100000000000080e+01
3.944500000000000028e+01;3.833599999999999852e+01;2.391900000000000048e+01;9.306399999999999295e+01;3.500399999999999778e+01;6.686592000000001690e+01;4.099900000000000233e+01
4.749499999999999744e+01;3.564500000000000313e+01;3.128600000000000136e+01;6.266100000000000136e+01;2.817200000000000060e+01;7.073812500000001080e+01;2.234400000000000119e+01
3.314999999999999858e+01;2.816799999999999926e+01;1.640299999999999869e+01;9.975499999999999545e+01;3.092200000000000060e+01;8.007176000000002603e+01;4.142799999999999727e+01
5.481400000000000006e+01;6.498499999999999943e+01;3.686399999999999721e+01;1.180400000000000063e+02;6.626000000000000512e+01;6.787846153846155062e+01;7.349899999999999523e+01
3.688600000000000279e+01;3.226800000000000068e+01;1.415399999999999991e+01;4.935799999999999699e+01;2.284700000000000131e+01;4.710229166666668021e+01;2.896900000000000119e+01
3.419599999999999795e+01;2.678399999999999892e+01;2.623000000000000043e+01;8.754999999999999716e+01;2.412199999999999989e+01;5.801604166666666629e+01;2.130199999999999960e+01
3.671699999999999875e+01;3.240599999999999881e+01;1.670700000000000074e+01;8.908799999999999386e+01;4.045499999999999829e+01;7.099787499999999341e+01;2.651300000000000168e+01
1.060100000000000051e+02;1.191200000000000045e+02;6.670799999999999841e+01;1.755900000000000034e+02;1.164899999999999949e+02;6.955900000000001171e+01;1.518499999999999943e+02
1.619799999999999898e+02;1.235499999999999972e+02;1.326599999999999966e+02;2.497500000000000000e+02;1.033599999999999994e+02;1.104035599999999988e+02;1.858199999999999932e+02
6.100200000000000244e+01;5.752000000000000313e+01;7.167100000000000648e+01;1.149399999999999977e+02;7.684600000000000364e+01;6.762988888888889960e+01;7.511400000000000432e+01
9.383499999999999375e+01;2.750099999999999909e+02;1.024500000000000028e+02;1.648000000000000114e+02;1.265699999999999932e+02;7.683904000000001133e+01;6.484000000000000341e+01
7.517100000000000648e+01;1.413199999999999932e+02;8.336199999999999477e+01;1.681599999999999966e+02;1.215900000000000034e+02;7.880879999999999086e+01;9.470000000000000284e+01
1.576999999999999886e+02;1.923000000000000114e+02;1.076099999999999994e+02;2.361999999999999886e+02;1.782400000000000091e+02;1.018609199999999788e+02;1.889699999999999989e+02
2.317800000000000082e+01;3.632300000000000040e+01;2.397700000000000031e+01;1.022999999999999972e+02;3.497599999999999909e+01;8.422492307692309055e+01;4.865899999999999892e+01
6.956300000000000239e+01;8.203600000000000136e+01;6.988500000000000512e+01;1.073900000000000006e+02;7.113400000000000034e+01;5.855338461538462980e+01;8.614700000000000557e+01
8.183799999999999386e+01;7.767400000000000659e+01;8.607099999999999795e+01;1.069300000000000068e+02;8.398699999999999477e+01;1.408225416666666945e+02;1.206599999999999966e+02
8.925000000000000000e+01;8.936700000000000443e+01;6.944899999999999807e+01;1.764600000000000080e+02;2.241100000000000136e+02;6.159104166666667624e+01;9.169100000000000250e+01
1.042999999999999972e+02;1.167000000000000028e+02;8.494899999999999807e+01;1.420900000000000034e+02;1.317500000000000000e+02;6.225516666666666765e+01;9.615300000000000580e+01
1.240400000000000063e+02;1.842199999999999989e+02;1.054599999999999937e+02;2.237299999999999898e+02;1.461299999999999955e+02;1.065105000000000075e+02;1.635500000000000114e+02
1.064399999999999977e+02;1.213199999999999932e+02;1.025799999999999983e+02;1.879900000000000091e+02;1.588600000000000136e+02;8.828066666666666151e+01;9.776500000000000057e+01
1.130400000000000063e+02;1.286800000000000068e+02;1.195699999999999932e+02;1.546699999999999875e+02;1.068599999999999994e+02;9.007760000000000389e+01;1.122600000000000051e+02
1.158599999999999994e+02;1.358899999999999864e+02;1.148799999999999955e+02;1.857199999999999989e+02;1.412500000000000000e+02;7.467403703703703854e+01;9.429600000000000648e+01
8.487699999999999534e+01;1.098799999999999955e+02;1.133100000000000023e+02;1.416599999999999966e+02;8.309499999999999886e+01;8.117507692307692935e+01;1.088199999999999932e+02
7.008799999999999386e+01;7.509000000000000341e+01;5.441700000000000159e+01;1.302700000000000102e+02;6.522499999999999432e+01;9.764166666666667993e+01;1.122199999999999989e+02
1.139599999999999937e+02;1.542199999999999989e+02;1.051599999999999966e+02;1.615900000000000034e+02;1.188499999999999943e+02;7.470611999999999853e+01;5.505799999999999983e+01
5.481099999999999994e+01;6.901900000000000546e+01;7.864600000000000080e+01;1.348300000000000125e+02;7.164100000000000534e+01;8.770764000000001204e+01;1.006800000000000068e+02
7.122199999999999420e+01;6.029800000000000182e+01;7.936499999999999488e+01;6.552700000000000102e+01;5.847099999999999653e+01;6.375092000000000070e+01;9.626500000000000057e+01
4.426800000000000068e+01;7.748999999999999488e+01;4.003399999999999892e+01;7.740399999999999636e+01;3.720900000000000318e+01;4.704937500000000483e+01;2.944800000000000040e+01
4.740200000000000102e+01;8.447899999999999920e+01;3.563499999999999801e+01;8.755599999999999739e+01;4.237199999999999989e+01;6.023211111111113070e+01;3.849199999999999733e+01
