# PS;GS;RS;c20_s1000_fpfhs_r5_d0_K100_i0;LS;MS;CS;c20_s1000_fpfhs_r5_d2_K100_i0_hier;c20_s1000_fpfhs_r5_d1_K100_i0
2.008214931263839276e+01;7.008055840814193971e+01;1.018396945524858044e+00;6.201881438637144583e+00;2.240725914950735032e+01;1.631462057419652001e-01;1.331411891263130620e+01;1.389650221587835688e+01;6.408925185766423560e+00
2.130186964266348681e+00;6.061615196576358500e+00;1.011734555563815308e+00;5.364810085937287809e+00;8.808908947016195867e+00;1.392499174838388587e-01;1.157500255032370262e+01;8.108628315989403035e+00;7.440174859640834804e+00
1.855195534934266810e+00;4.625586278006695196e+00;9.903512365449035348e-01;5.016073686596151049e+00;7.070539243830873843e+00;1.437414852068038540e-01;7.143058406153342865e+00;6.369882890336789671e+00;5.051141912773716491e+00
1.491816094834003348e+00;3.787255810221891839e+00;1.003521989242289747e+00;4.334066162422769430e+00;5.973258448305850621e+00;1.862446391803221912e-01;4.895023212710046145e+00;6.112926128982660856e+00;4.184394523391236298e+00
1.343259184003134710e+00;2.801618120000963330e+00;1.002983853257684466e+00;4.353085485727248738e+00;5.161451355891492732e+00;2.300724200246208606e-01;3.780870194361513281e+00;3.565419813083107847e+00;3.763638045855744796e+00
1.283409597403353697e+00;2.098224873553073078e+00;9.871955479788614429e-01;3.686834043553462337e+00;4.560624016954696991e+00;2.709900967402265604e-01;3.246630685470492939e+00;2.917837899153640890e+00;3.536123187464407902e+00
1.141228753942568286e+00;1.734263502823016223e+00;1.003324971549849343e+00;3.364287661851108169e+00;4.101908586896912290e+00;3.426891917063419890e-01;2.703588299881809931e+00;2.182876367010723406e+00;2.820058233660110325e+00
1.076008138644399814e+00;1.288602638888468821e+00;1.012604514433859793e+00;3.091953325639037686e+00;3.650655448069883402e+00;4.084592556442018241e-01;2.325840068361444857e+00;1.957828645016183700e+00;2.586979769094694070e+00
1.022414017021029631e+00;1.097627091949514133e+00;1.002189425825271485e+00;2.965452542703614469e+00;3.361990538499179948e+00;4.700690379485119030e-01;2.089709561448199970e+00;2.384341381233319179e+00;2.306286548627391131e+00
9.608079759390111274e-01;7.944500132047614960e-01;1.006503279842423604e+00;2.882432283792614403e+00;3.099257313591314400e+00;5.401601174767889368e-01;1.924216620676157952e+00;2.027095118878747826e+00;2.290776484163931759e+00
9.312962138822274971e-01;6.472638698249275624e-01;1.001745414617242647e+00;2.485108752996404657e+00;2.781721040013140023e+00;6.234291969497371966e-01;1.743632572432007866e+00;1.701150808392468461e+00;2.455787772197062679e+00
8.754600159929298853e-01;5.441347122367374833e-01;9.975667689190136356e-01;2.241964414461766975e+00;2.524208242734465646e+00;6.628432543745045313e-01;1.651821347955810815e+00;1.618526151706843663e+00;2.708815595772700036e+00
8.451426692474710567e-01;4.402719735278267099e-01;1.003569272054634087e+00;2.375570505960695300e+00;2.296838819908421314e+00;7.684321346203505376e-01;1.448428335653634935e+00;1.274257310761502060e+00;2.416969005784581181e+00
8.423376353423932539e-01;3.752281559460861615e-01;9.922781780325375944e-01;2.135876554694404739e+00;2.119882796655633062e+00;8.241255124108282093e-01;1.264552739517696089e+00;1.166150228938458655e+00;2.261070069276054362e+00
8.249973104887948772e-01;2.953450053617545645e-01;9.931340004863009607e-01;1.810518626831601585e+00;1.905365290161504133e+00;8.899129004478711913e-01;1.173228341307458455e+00;1.082609956060355261e+00;2.294521370345512512e+00
8.667442342179435544e-01;2.702846586513328320e-01;1.005833361259568681e+00;1.652503359152791562e+00;1.731501457516440690e+00;9.574530154110221236e-01;1.102653362809912885e+00;9.463593289755393156e-01;2.077521664658931844e+00
7.918739918786694698e-01;2.318159567836739765e-01;9.854724410439053006e-01;1.622593060848132707e+00;1.607968250323589254e+00;1.007593449977206790e+00;1.047377570285831005e+00;9.668533774574399331e-01;1.891258704550574210e+00
