# RS;CS;LS;MS;PS
-1.576992566303234422e-01;2.432385512740269928e-01;-3.601919994932228811e-04;1.671879602836806866e-01;2.702476024624693718e-01
6.400468789427056493e-02;6.018519710010751256e-01;3.012690119047923276e-01;3.529838682799680827e-01;5.460696228273942410e-01
-1.072301669001432534e-01;1.108586696435413632e+00;1.125242201746350812e+00;1.639927511832866835e-01;7.979289711416179820e-01
1.079337252176260642e-01;8.310769058875241422e-01;5.240261152418274060e-01;3.363408083015109185e-01;5.648380302688335020e-01
-3.103963242836281847e-02;1.464833068835031726e+00;1.513296076476972285e+00;3.574942584162560388e-01;6.856305554682674552e-01
2.428330139793212494e-02;1.336058210343336050e+00;1.300364033161958588e+00;0.000000000000000000e+00;7.909726802555433478e-01
-1.195549920988524389e-01;6.028506959154343869e-01;5.188833800897063586e-01;3.213758628462505818e-01;4.492215730518985262e-01
1.318099145209719603e-01;6.180347721465818678e-01;4.092182392074569242e-01;4.128744532655251875e-01;3.832386000691017092e-01
8.067603379830651233e-02;2.963254505411109241e-01;3.445610727099813198e-01;2.727750331783539428e-01;6.982334134056873420e-01
-3.137970419268842209e-02;9.936226698338669339e-01;7.214571865069004941e-01;5.912754896869276688e-01;6.871881214610127131e-01
-1.434977611701305500e-01;-1.751492940147416910e-01;3.255986177623469979e-01;1.872932580513124723e-01;3.875553389668048854e-01
3.187951481096181622e-02;5.197753278680119493e-01;9.962728123677311309e-01;8.067365718806761565e-01;4.666743907360249577e-01
2.581261944615104165e-02;8.378908631444396959e-02;2.112255633794352938e-01;2.489143158673995659e-01;-6.713674015252277250e-02
1.436444146426586223e-02;3.730102272829816101e-01;6.605712850078723219e-01;0.000000000000000000e+00;2.135192887549797192e-01
5.120657531007938822e-03;6.813425068500928994e-01;3.637989496162610248e-01;6.706335932858744631e-01;6.362791171209379870e-01
2.209212202793467417e-01;4.870497876360916356e-01;4.486761235312667906e-01;2.823653692404734517e-01;2.737722277995605080e-01
-3.215291186742048196e-02;6.850472308326224224e-01;4.341279279449603012e-01;2.072010782142011398e-01;6.659258026290896249e-01
-1.136570993828643766e-01;7.672027530426430708e-01;7.503981774844122876e-01;1.324946081844617478e-02;3.104215959085400711e-01
-9.998406232045330133e-02;3.478444786602412631e-01;6.120152294212672928e-01;3.368771652114168624e-01;2.821214947666294548e-01
-1.113297427025691094e-02;4.163236756976979036e-01;4.535823152663991942e-01;3.656284666065949263e-01;3.807210755593126716e-01
7.602275326115373599e-02;8.700544867953361461e-01;1.063265926265829719e+00;4.171203290311444878e-01;6.380831891416787194e-01
-2.011976250952026563e-02;5.788543104357231073e-01;6.037736990675147686e-01;0.000000000000000000e+00;6.480384995561072614e-01
-7.631347018842264684e-02;1.400286937060221393e-01;3.230507740260102900e-01;2.155666264431068124e-01;2.685045810052465454e-01
2.254113960398432953e-02;6.887753382760219978e-01;6.836452294647730188e-01;3.629846684283794533e-01;2.966115565503907314e-01
-1.095473043038133927e-02;4.646550681465432819e-01;5.419710696040452858e-01;8.408551638470015965e-02;5.800685843357451521e-01
-5.385583829144741791e-03;5.114632789832296300e-01;9.848372133964643504e-01;6.742898329335493823e-01;6.185978820135243916e-01
4.976878398607145065e-02;7.821748527495936409e-01;7.043126048999130973e-01;2.416186809203203223e-01;4.411790570727809890e-01
-1.367895989397130418e-01;6.975077629337992358e-01;6.223206215419718745e-01;9.854492945635402734e-02;6.785118278281616622e-01
1.469154317950170097e-01;1.785655204047223166e-01;4.158568002263967611e-01;3.814881503906901172e-01;2.687797481002112687e-01
4.062652753570702990e-02;8.357832748225378916e-01;6.578482814978094950e-01;3.668941485627563170e-01;5.065254141955385370e-01
7.379371702786527432e-02;7.329998065673504204e-01;5.758566193765880525e-01;2.673644644352848321e-01;3.788742251445291198e-01
-1.190512014841033778e-01;6.092296430230639270e-01;5.100122000439804015e-01;2.601621802989638188e-01;4.611548949310886880e-01
1.153143357051670814e-01;5.209869240597206907e-01;2.619831069471126317e-01;3.509967057524835399e-01;4.335964577490946659e-01
-6.406226650019741786e-02;5.687799810674845080e-01;4.419606639747235000e-01;3.833788874842852801e-01;3.882156706687077685e-01
5.253819288051804481e-02;-2.228199828972407537e-01;3.240606993194516394e-01;4.450428135898639725e-01;3.279865064896179128e-01
9.355472994502399275e-02;3.506010365305611831e-01;2.482168958925647650e-01;4.590252810492677360e-02;2.520632098565939727e-01
-3.088340546141605039e-02;-9.248443361193942058e-02;1.801833899588338450e-01;2.644497993360935828e-01;-9.332577327083024787e-02
2.381194640256582562e-01;5.288433706096232756e-01;3.586144271078541834e-01;5.010433332760876324e-01;4.894195607925507230e-01
-9.855438608349756380e-02;1.054177710428361836e+00;1.062054095541849819e+00;4.257625413706433992e-01;3.586911568411651485e-01
-7.945262406828561275e-02;6.157567311751698247e-01;5.506016666051471997e-01;3.760069278733786380e-01;5.691866383523885853e-01
2.532479753342716799e-01;9.173921416919804672e-01;1.114700589393422314e+00;0.000000000000000000e+00;2.364132159844572478e-01
-2.522997147113796926e-02;9.066383126076327237e-01;8.161460646886147252e-01;8.555817728571066816e-01;2.605566395970545512e-01
1.432688490910679902e-01;9.800056819659893614e-01;8.922462647180308126e-01;-5.655018314365289206e-02;2.580464988784713642e-01
6.571490611691030437e-02;8.776845654306729416e-02;-8.031585941716407051e-02;0.000000000000000000e+00;1.393610886105072777e-01
-7.691444185132971512e-02;2.198204659206021150e-02;7.996698685331153633e-02;3.279593786586360582e-01;3.338086042244501339e-01
-9.722240888619143595e-03;1.896357371778421008e-01;1.897310896396098012e-01;2.365090444770571732e-01;1.387126331453639727e-01
3.960316310209513468e-02;4.722787216895242834e-01;2.825468273854173096e-01;3.273316045076380409e-01;-3.270416818579152674e-02
1.972506382632692457e-01;3.677704776914239582e-01;6.756612477723930033e-01;-5.000000000000000000e-01;4.999581780364324990e-01
-2.522446069506472516e-02;4.437261633355006896e-01;3.219439310958724376e-01;5.012153159245116840e-02;-8.443923176443057788e-02
-1.150067595484518534e-01;7.781247727129612934e-02;3.958961585803948968e-01;0.000000000000000000e+00;2.144377671207364777e-01
7.580643500338428431e-02;2.015792295368402376e-01;1.292845953895179201e-01;1.813782137142946338e-01;2.256169746743162674e-01
-6.552124877705146899e-02;4.593893018887866275e-01;3.077493813657758981e-01;-3.625628506765807800e-03;1.601804677287005096e-01
4.760736577053435725e-02;5.101509789322414834e-01;1.932266798075841785e-01;1.044824261344891314e-01;1.114742002664753928e-01
-6.123723760291811119e-02;1.658419799072875511e-01;1.098572510838505406e-01;3.110347380047675386e-02;2.386956893205879338e-01
7.585131570436332016e-02;2.024803859125808569e-01;1.420951043732474328e-01;8.119949444809193562e-02;4.128193812959119469e-01
-1.336154531867828621e-01;3.339251799593789261e-01;7.118280552937322758e-01;-5.000000000000000000e-01;2.434737604094847352e-01
-1.678100259310703890e-01;6.957227975524810093e-01;1.005041851859058477e+00;-1.540310253363985360e-01;3.900299971586133063e-01
1.861933428394816903e-01;5.393993533023222486e-01;6.726807250704486263e-01;5.794656949623628872e-01;3.931750483666118789e-01
-7.848759283805104014e-02;7.103761577277998285e-01;6.175747133593917360e-01;2.631221355702195175e-01;2.917103249920136587e-01
-1.388586602118604442e-02;9.431533275167757191e-01;8.571848314286879544e-01;-3.909112554852664512e-02;4.504743627299066522e-01
-2.964196711792997999e-02;1.057256824966952502e+00;8.248586038073584259e-01;4.578536945293467109e-01;5.771689685524290514e-01
-2.970742154250441414e-02;1.404435531679607996e+00;7.780489774198907638e-01;6.836195900275141568e-01;5.575095832837148047e-01
-3.709507055484762006e-02;-1.792466283160759274e-02;8.795407668369058518e-01;5.156423613194036082e-02;1.049903835583437944e-01
1.088426025275953807e-01;2.805910741755287541e-01;6.493849632913223369e-01;3.967075858342791195e-01;4.057292857104982109e-01
-9.920163177488672268e-02;1.507178739902672315e-01;8.150914820262680216e-01;2.408758125028978292e-01;3.003665241691884646e-01
1.219275796968150027e-01;5.971265334310732475e-01;8.827560749240590532e-01;6.283932198650066248e-01;7.934704792669600160e-02
1.302842744574211203e-02;6.705610158149608591e-01;9.837801958243959088e-01;-5.000000000000000000e-01;2.593142260706882835e-02
-3.488054797365304494e-02;7.750214363476978230e-01;3.855834858444583957e-01;5.222547662776274580e-01;2.906302144924846620e-01
-1.109689268536388079e-01;2.146746436442328598e-01;2.866139291993195504e-01;1.542241476449435489e-01;3.132611919473502482e-01
-9.087731220389992648e-02;4.725417029965705007e-01;1.001284210750537640e-01;-2.072649202298080737e-02;2.648973280615944392e-01
-1.016638710899276689e-02;6.809782494431299016e-01;8.260158700887596517e-01;-1.999326504016626094e-01;2.781946221575118949e-01
-6.604347604627668067e-02;3.075232125455475973e-01;4.010831318538559120e-01;9.019774489166616782e-02;1.759057273929514331e-01
2.352789907180349860e-02;6.987335753870274058e-01;9.389518757903961843e-01;2.687138096993685679e-02;4.450891247576699294e-01
8.096588905127734270e-02;3.614900253099251892e-01;8.252609390285293722e-01;3.938177128398966387e-01;2.241589434921921753e-01
-1.087860613427001771e-01;6.388597502315751520e-01;5.403573736541696926e-01;2.919146950672171781e-01;1.392561066604471598e-01
1.229474584443560406e-02;7.581024154853469033e-02;8.193964561861534213e-01;-3.902084646859631245e-02;5.254145018577362214e-02
-7.373827446150058029e-02;2.957669668358984816e-01;5.246059097534465643e-01;1.708561535280908594e-01;-2.441792547552823836e-02
1.357032286552690425e-01;4.622947946729242252e-01;7.324142641653270669e-01;0.000000000000000000e+00;1.907343658130550290e-01
3.886647567145377902e-02;1.113893420182151095e+00;1.246612538246038460e+00;1.194422158419304603e-01;7.043682326727938037e-01
1.919435916169882350e-01;4.425518004597227550e-01;5.487649554630272819e-01;5.069450999619331544e-01;3.463040576972859497e-01
-4.667995123559450649e-02;4.978830622139060469e-01;5.698711857025764438e-01;5.727662588842491465e-01;1.662527233338177701e-01
-1.607321705994012584e-01;2.387797036225332015e-01;7.014764688226453604e-01;4.562962193756308626e-01;3.030748576418413887e-01
-4.834814406027391175e-03;7.870813160145717635e-01;1.134389284376560836e+00;2.470311562233864777e-01;1.587737365980095294e-01
-2.602594895848309858e-02;4.335842470867538601e-01;8.418280008703747930e-01;8.037444655487945289e-01;1.585866872216082635e-01
3.010373897792808714e-02;7.430919591894864507e-01;7.561190612418152712e-01;4.373743490530904166e-01;6.001458013805560654e-01
-9.644967180386154748e-02;2.148287148947018166e-01;4.494508206019363072e-01;7.494483930651583137e-01;6.278431969037188976e-02
